date,publication_date,dosen_kumulativ,personen_erst_kumulativ,personen_voll_kumulativ,dosen_biontech_kumulativ,dosen_erst_biontech_kumulativ,dosen_voll_biontech_kumulativ,dosen_moderna_kumulativ,dosen_erst_moderna_kumulativ,dosen_voll_moderna_kumulativ,dosen_astrazeneca_kumulativ,dosen_erst_astrazeneca_kumulativ,dosen_voll_astrazeneca_kumulativ,indikation_alter_dosen,indikation_alter_erst,indikation_alter_voll,indikation_beruf_dosen,indikation_beruf_erst,indikation_beruf_voll,indikation_medizinisch_dosen,indikation_medizinisch_erst,indikation_medizinisch_voll,indikation_pflegeheim_dosen,indikation_pflegeheim_erst,indikation_pflegeheim_voll,dosen_differenz_zum_vortag,dosen_erst_differenz_zum_vortag,dosen_voll_differenz_zum_vortag,impf_quote_dosen,impf_quote_erst,impf_quote_voll,impf_inzidenz_dosen,impf_inzidenz_erst,impf_inzidenz_voll
2020-12-27,2020-12-28 16:15,420,420,0,420,420,0,0,0,0,0,0,0,205,205,0,87,87,0,0,,0,0,,0,,,,0.06165572032965259,0.06165572032965259,0,0.6165572032965259,0.6165572032965259,0
2020-12-28,2020-12-29 08:00,592,592,0,592,592,0,0,0,0,0,0,0,276,276,0,133,133,0,0,,0,278,278,0,174,,,0.0869052057979865,0.0869052057979865,0,0.869052057979865,0.869052057979865,0
2020-12-30,2020-12-31 08:30,1691,1691,0,1691,1691,0,0,0,0,0,0,0,821,821,0,408,408,0,5,5,0,510,510,0,601,,,0.24823767399391075,0.24823767399391075,0,2.4823767399391077,2.4823767399391077,0
2020-12-31,2021-01-01 12:30,1741,1741,0,1741,1741,0,0,0,0,0,0,0,821,821,0,408,408,0,6,6,0,237,237,0,50,,,0.2555776406998218,0.2555776406998218,0,2.555776406998218,2.555776406998218,0
2021-01-01,2021-01-02 08:00,1741,1741,0,1741,1741,0,0,0,0,0,0,0,821,821,0,408,408,0,6,6,0,237,237,0,,,,0.2555776406998218,0.2555776406998218,0,2.555776406998218,2.555776406998218,0
2021-01-02,2021-01-03 08:00,1837,1837,0,1837,1837,0,0,0,0,0,0,0,824,824,0,465,465,0,9,9,0,265,265,0,96,,,0.269670376775171,0.269670376775171,0,2.6967037677517096,2.6967037677517096,0
2021-01-03,2021-01-04 12:00,1903,1903,0,1903,1903,0,0,0,0,0,0,0,824,824,0,506,506,0,9,9,0,289,289,0,66,,,0.2793591328269735,0.2793591328269735,0,2.793591328269735,2.793591328269735,0
2021-01-04,2021-01-05 12:00,2653,2653,0,2653,2653,0,0,0,0,0,0,0,942,942,0,811,811,0,18,18,0,651,651,0,700,,,0.3894586334156388,0.3894586334156388,0,3.894586334156388,3.894586334156388,0
2021-01-05,2021-01-06 11:00,3195,3195,0,3195,3195,0,0,0,0,0,0,0,982,982,0,1062,1062,0,29,29,0,892,892,0,518,,,0.4690238725077143,0.4690238725077143,0,4.690238725077143,4.690238725077142,0
2021-01-06,2021-01-07 11:00,3825,3825,0,3825,3825,0,0,0,0,0,0,0,1018,1018,0,1397,1397,0,31,31,0,1182,1182,0,630,,,0.5615074530021932,0.5615074530021932,0,5.615074530021932,5.615074530021932,0
2021-01-07,2021-01-08 11:00,4505,4505,0,4505,4505,0,0,0,0,0,0,0,1033,1033,0,1764,1764,0,34,34,0,1491,1491,0,621,,,0.6613310002025831,0.6613310002025831,0,6.61331000202583,6.61331000202583,0
2021-01-08,2021-01-09 11:00,5291,5291,0,5291,5291,0,0,0,0,0,0,0,1054,1054,0,2103,2103,0,42,42,0,1924,1924,0,720,,,0.7767152768195044,0.7767152768195044,0,7.767152768195044,7.767152768195044,0
2021-01-10,2021-01-11 11:00,6303,6303,0,6303,6303,0,0,0,0,0,0,0,1070,1070,0,2607,2607,0,43,43,0,2426,2426,0,491,,,0.9252762029471434,0.9252762029471434,0,9.252762029471434,9.252762029471436,0
2021-01-11,2021-01-12 11:00,6999,6999,0,6999,6999,0,0,0,0,0,0,0,1073,1073,0,2993,2993,0,44,44,0,2733,2733,0,682,,,1.027448539493425,1.027448539493425,0,10.27448539493425,10.27448539493425,0
2021-01-12,2021-01-13 11:00,7753,7753,0,7753,7753,0,0,0,0,0,0,0,1104,1104,0,3346,3346,0,60,60,0,3115,3115,0,753,,,1.1381352374185632,1.1381352374185632,0,11.381352374185632,11.381352374185632,0
2021-01-13,2021-01-14 11:00,8890,8890,0,8890,8890,0,0,0,0,0,0,0,1181,1181,0,4066,4066,0,88,88,0,3420,3420,0,1137,,,1.3050460803109798,1.3050460803109798,0,13.050460803109797,13.050460803109797,0
2021-01-14,2021-01-15 11:00,10134,10134,0,10134,10134,0,0,0,0,0,0,0,1197,1197,0,4786,4786,0,89,89,0,3927,3927,0,1099,,,1.4876644519540458,1.4876644519540458,0,14.87664451954046,14.87664451954046,0
2021-01-15,2021-01-16 11:00,11033,11033,0,11033,11033,0,0,0,0,0,0,0,1246,1246,0,5427,5427,0,89,89,0,4135,4135,0,899,,,1.619637053326326,1.619637053326326,0,16.196370533263263,16.196370533263263,0
2021-01-17,2021-01-18 11:00,11845,11845,0,11845,11845,0,0,0,0,0,0,0,1313,1313,0,5751,5751,0,100,100,0,4533,4533,0,,394,0,1.7388381126303212,1.7388381126303212,0,17.388381126303212,17.388381126303212,0
2021-01-18,2021-01-19 14:00,13256,12866,390,12823,12433,390,433,433,0,0,0,0,1484,1457,27,6522,6384,138,106,101,5,5023,4866,157,,614,318,1.9459719730711302,1.8887202327650243,0.05725174030610597,19.459719730711303,18.887202327650243,0.5725174030610597
