date,publication_date,region,metric,value
2020-12-27,2020-12-28 16:15,BW,dosen_kumulativ,2084
2020-12-27,2020-12-28 16:15,BW,personen_erst_kumulativ,2084
2020-12-27,2020-12-28 16:15,BW,personen_voll_kumulativ,0
2020-12-27,2020-12-28 16:15,BW,dosen_biontech_kumulativ,2084
2020-12-27,2020-12-28 16:15,BW,dosen_erst_biontech_kumulativ,2084
2020-12-27,2020-12-28 16:15,BW,dosen_voll_biontech_kumulativ,0
2020-12-27,2020-12-28 16:15,BW,dosen_moderna_kumulativ,0
2020-12-27,2020-12-28 16:15,BW,dosen_erst_moderna_kumulativ,0
2020-12-27,2020-12-28 16:15,BW,dosen_voll_moderna_kumulativ,0
2020-12-27,2020-12-28 16:15,BW,dosen_astrazeneca_kumulativ,0
2020-12-27,2020-12-28 16:15,BW,dosen_erst_astrazeneca_kumulativ,0
2020-12-27,2020-12-28 16:15,BW,dosen_voll_astrazeneca_kumulativ,0
2020-12-27,2020-12-28 16:15,BW,indikation_alter_dosen,624
2020-12-27,2020-12-28 16:15,BW,indikation_alter_erst,624
2020-12-27,2020-12-28 16:15,BW,indikation_alter_voll,0
2020-12-27,2020-12-28 16:15,BW,indikation_beruf_dosen,964
2020-12-27,2020-12-28 16:15,BW,indikation_beruf_erst,964
2020-12-27,2020-12-28 16:15,BW,indikation_beruf_voll,0
2020-12-27,2020-12-28 16:15,BW,indikation_medizinisch_dosen,151
2020-12-27,2020-12-28 16:15,BW,indikation_medizinisch_erst,151
2020-12-27,2020-12-28 16:15,BW,indikation_medizinisch_voll,0
2020-12-27,2020-12-28 16:15,BW,indikation_pflegeheim_dosen,0
2020-12-27,2020-12-28 16:15,BW,indikation_pflegeheim_erst,
2020-12-27,2020-12-28 16:15,BW,indikation_pflegeheim_voll,0
2020-12-27,2020-12-28 16:15,BW,dosen_differenz_zum_vortag,
2020-12-27,2020-12-28 16:15,BW,dosen_erst_differenz_zum_vortag,
2020-12-27,2020-12-28 16:15,BW,dosen_voll_differenz_zum_vortag,
2020-12-27,2020-12-28 16:15,BW,impf_quote_dosen,0.018774108378495392
2020-12-27,2020-12-28 16:15,BW,impf_quote_erst,0.018774108378495392
2020-12-27,2020-12-28 16:15,BW,impf_quote_voll,0
2020-12-27,2020-12-28 16:15,BW,impf_inzidenz_dosen,0.18774108378495394
2020-12-27,2020-12-28 16:15,BW,impf_inzidenz_erst,0.18774108378495394
2020-12-27,2020-12-28 16:15,BW,impf_inzidenz_voll,0
2020-12-27,2020-12-28 16:15,BY,dosen_kumulativ,3389
2020-12-27,2020-12-28 16:15,BY,personen_erst_kumulativ,3389
2020-12-27,2020-12-28 16:15,BY,personen_voll_kumulativ,0
2020-12-27,2020-12-28 16:15,BY,dosen_biontech_kumulativ,3389
2020-12-27,2020-12-28 16:15,BY,dosen_erst_biontech_kumulativ,3389
2020-12-27,2020-12-28 16:15,BY,dosen_voll_biontech_kumulativ,0
2020-12-27,2020-12-28 16:15,BY,dosen_moderna_kumulativ,0
2020-12-27,2020-12-28 16:15,BY,dosen_erst_moderna_kumulativ,0
2020-12-27,2020-12-28 16:15,BY,dosen_voll_moderna_kumulativ,0
2020-12-27,2020-12-28 16:15,BY,dosen_astrazeneca_kumulativ,0
2020-12-27,2020-12-28 16:15,BY,dosen_erst_astrazeneca_kumulativ,0
2020-12-27,2020-12-28 16:15,BY,dosen_voll_astrazeneca_kumulativ,0
2020-12-27,2020-12-28 16:15,BY,indikation_alter_dosen,994
