date,publication_date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,DE
2020-12-27,2020-12-28 16:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28,2020-12-29 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-30,2020-12-31 08:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-31,2021-01-01 12:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,2021-01-02 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,2021-01-03 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,2021-01-04 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,2021-01-05 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,2021-01-06 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-06,2021-01-07 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07,2021-01-08 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,2021-01-09 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,2021-01-11 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,2021-01-12 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-12,2021-01-13 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-13,2021-01-14 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-14,2021-01-15 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-15,2021-01-16 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-17,2021-01-18 11:00,0,0,280,0,0,211,688,0,91,354,158,0,50,280,0,0,2112
2021-01-18,2021-01-19 14:00,0,419,1060,0,138,262,1418,354,346,2057,640,0,207,1323,0,21,8245
2021-01-19,2021-01-20 10:00,3531,1659,1247,0,227,442,3281,84,784,2521,640,0,978,3027,0,23,18444
2021-01-20,2021-01-21 10:00,4832,4077,1456,1123,434,880,7082,1190,1461,8049,1195,0,2390,4137,0,222,38528
2021-01-21,2021-01-22 10:00,6263,10370,2772,1123,560,1385,7217,1403,709,11031,1587,255,2983,4658,0,868,53184
2021-01-22,2021-01-23 10:00,7387,16185,4051,1123,568,1710,8749,1403,806,13378,2023,336,2983,5204,0,1236,67142
2021-01-24,2021-01-25 10:00,9770,25766,4419,1123,623,2026,13615,1458,1476,23830,2127,475,3798,5959,5,1347,97817
2021-01-25,2021-01-26 10:00,11393,51585,5070,1124,693,2562,15427,2629,2952,27423,2494,534,4911,6708,267,1606,137378
2021-01-26,2021-01-27 10:00,13195,54743,5685,2734,957,2936,17194,5649,7413,31390,2927,611,6989,7538,713,1748,162422
2021-01-27,2021-01-28 10:00,14540,57151,6487,4957,1145,3862,19266,7397,11467,36598,3877,746,8331,7961,1042,3518,188345
2021-01-28,2021-01-29 10:00,16270,46640,7240,8312,1507,5101,20794,871,15942,40957,5535,884,9739,8618,1529,6059,195998
2021-01-29,2021-01-30 10:00,18223,48895,7850,12014,1689,5730,22282,987,20128,42631,7656,1011,10902,9758,2123,7281,219160
2021-01-31,2021-02-01 10:00,21280,58184,8513,12124,2200,6497,25521,987,22228,49280,9344,1130,12004,10135,2953,7981,250361
2021-02-01,2021-02-02 10:00,22823,67217,8866,12653,2549,7341,27146,9656,26979,59566,11226,1250,14210,11186,3433,8994,295095
2021-02-02,2021-02-03 10:00,24742,74313,9237,13746,2919,8364,28474,10377,31424,68014,13047,1401,16963,12321,4298,10226,329866
2021-02-03,2021-02-04 10:00,26810,81805,9922,15687,3281,9659,29649,11001,35527,75704,14941,1538,19757,13519,6170,11277,366247
2021-02-04,2021-02-05 10:00,29219,88311,10333,17237,3621,10628,31160,11831,39794,86300,17402,1668,22010,14289,7292,12537,403632
2021-02-05,2021-02-06 10:00,31510,94079,10799,18786,3911,11494,33588,12310,44166,92268,19625,1767,24092,14883,9665,13396,436339
2021-02-07,2021-02-08 11:00,34991,100063,16667,18918,4256,12839,34995,12310,45398,128539,21943,1885,26484,14998,10748,14162,499196
2021-02-08,2021-02-09 10:00,37261,103538,17205,19613,4400,13458,36021,13988,47345,128539,24102,2342,27376,15617,11857,14460,517122
2021-02-09,2021-02-10 10:00,39350,106698,17608,20571,4657,14832,37571,15239,49291,119879,27328,2444,28801,16148,13708,15481,529606
2021-02-10,2021-02-11 10:00,41493,109518,17837,24382,5115,16273,39051,16522,50923,139985,29763,2569,29887,16868,14964,16505,571655
2021-02-11,2021-02-12 10:00,43677,113694,18297,29617,5656,17376,40730,17781,55484,150785,33163,2694,30683,17623,16575,17669,611504
2021-02-12,2021-02-13 08:00,47721,119670,18379,34796,6342,18176,42278,18459,61558,156107,36617,2805,31667,18606,18622,18571,650374
2021-02-14,2021-02-15 08:00,53611,125840,21721,34059,6703,19333,43938,18463,65544,162270,40190,2882,33522,18990,20148,19215,686429
2021-02-15,2021-02-16 08:00,56344,131000,21969,35175,6860,20020,45082,18950,68487,167871,41757,3225,34736,20044,21690,20006,713216
2021-02-16,2021-02-17 08:00,58887,137083,22394,35928,6989,20769,45967,19731,70141,170865,48884,3493,35253,20637,24053,20798,741872
