date,publication_date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,DE
2020-12-27,2020-12-28 16:15,,,,,,,,,,,,,,,,,
2020-12-28,2020-12-29 08:00,,,,,,,,,,,,,,,,,
2020-12-30,2020-12-31 08:30,,,,,,,,,,,,,,,,,
2020-12-31,2021-01-01 12:30,,,,,,,,,,,,,,,,,
2021-01-01,2021-01-02 08:00,,,,,,,,,,,,,,,,,
2021-01-02,2021-01-03 08:00,,,,,,,,,,,,,,,,,
2021-01-03,2021-01-04 12:00,,,,,,,,,,,,,,,,,
2021-01-04,2021-01-05 12:00,,,,,,,,,,,,,,,,,
2021-01-05,2021-01-06 11:00,,,,,,,,,,,,,,,,,
2021-01-06,2021-01-07 11:00,,,,,,,,,,,,,,,,,
2021-01-07,2021-01-08 11:00,,,,,,,,,,,,,,,,,
2021-01-08,2021-01-09 11:00,,,,,,,,,,,,,,,,,
2021-01-10,2021-01-11 11:00,,,,,,,,,,,,,,,,,
2021-01-11,2021-01-12 11:00,,,,,,,,,,,,,,,,,
2021-01-12,2021-01-13 11:00,,,,,,,,,,,,,,,,,
2021-01-13,2021-01-14 11:00,,,,,,,,,,,,,,,,,
2021-01-14,2021-01-15 11:00,,,,,,,,,,,,,,,,,
2021-01-15,2021-01-16 11:00,,,,,,,,,,,,,,,,,
2021-01-17,2021-01-18 11:00,0,0,1933,0,0,425,1736,0,335,906,350,0,155,624,0,0,6464
2021-01-18,2021-01-19 14:00,1953,419,2205,0,318,174,1264,1157,473,1722,445,0,213,2248,640,21,12594
2021-01-19,2021-01-20 10:00,3107,1240,2445,1123,324,432,3413,0,714,420,730,0,771,2705,428,131,17983
2021-01-20,2021-01-21 10:00,3887,2418,2789,0,519,635,5937,1316,1174,9346,436,0,1412,2115,98,82,32164
2021-01-21,2021-01-22 10:00,3719,12627,3122,0,524,505,3204,483,732,2998,636,591,792,1261,161,173,31528
2021-01-22,2021-01-23 10:00,3187,11644,3235,0,9,646,2501,54,462,3130,249,557,452,1109,198,2,27435
2021-01-24,2021-01-25 10:00,3130,8102,953,0,69,463,4119,0,400,7635,0,0,527,621,6,0,26025
2021-01-25,2021-01-26 10:00,3936,11587,1637,22,258,641,3200,1909,3448,3493,367,623,1764,1525,1264,193,35867
2021-01-26,2021-01-27 10:00,5695,5143,2646,1610,631,601,2932,3920,6495,5154,637,754,2643,1723,1613,330,42527
2021-01-27,2021-01-28 10:00,4829,4005,2269,1921,450,939,2978,2371,7397,9553,931,868,1512,1005,1202,876,43106
2021-01-28,2021-01-29 10:00,5339,2660,2300,2836,636,1280,2261,1668,8535,5368,4368,769,1536,1279,1926,1117,43878
2021-01-29,2021-01-30 10:00,5676,3165,2632,2139,278,723,2138,451,8030,2734,3761,862,1857,2147,2250,1221,40064
2021-01-31,2021-02-01 10:00,4059,9353,1049,0,462,1177,3119,0,584,4492,803,0,1247,433,1229,0,28007
2021-02-01,2021-02-02 10:00,5175,15757,1828,1571,677,1348,3211,1078,7742,8300,5748,873,3477,1715,1709,1653,61862
2021-02-02,2021-02-03 10:00,5866,13437,2110,2766,685,1636,2299,1197,7599,7663,5752,935,4186,2114,2504,1203,61952
2021-02-03,2021-02-04 10:00,5730,15895,2577,3312,751,1701,2344,1144,6555,5966,6562,937,4383,2289,3132,2270,65548
2021-02-04,2021-02-05 10:00,6803,12450,2212,3250,820,1580,3017,1157,6546,9676,6214,929,3887,1779,2852,1898,65070
2021-02-05,2021-02-06 10:00,6537,11148,2530,3406,620,1357,4234,393,6556,6591,6187,1035,3684,1094,3753,2007,61132
2021-02-07,2021-02-08 11:00,3603,4466,1333,0,374,1122,625,0,459,4179,1767,0,2724,165,2268,202,23287
2021-02-08,2021-02-09 10:00,6582,6293,2470,2416,484,1409,1879,1455,2911,0,6149,606,3092,1014,3217,1060,41037
2021-02-09,2021-02-10 10:00,6397,5618,2243,3055,668,2226,3322,2619,2819,7985,7486,161,3992,1357,3351,2445,55744
2021-02-10,2021-02-11 10:00,5693,4549,2405,6523,726,1700,3146,2654,2895,11183,7528,189,3154,1843,2910,2749,59847
2021-02-11,2021-02-12 10:00,5678,5597,2916,7217,812,1868,4385,2432,8232,8095,7961,194,2231,1600,3531,2419,65168
2021-02-12,2021-02-13 08:00,10343,8225,5314,6524,946,1322,3840,1403,9615,5229,8667,285,2765,1903,3808,2140,72329
2021-02-14,2021-02-15 08:00,6027,3766,3175,0,573,1070,2332,0,898,1739,1828,0,1554,0,2801,338,26101
2021-02-15,2021-02-16 08:00,7399,9653,3419,3070,712,1418,3328,1448,4664,1756,5901,745,2838,1814,2747,2335,53247
2021-02-16,2021-02-17 10:00,6788,10435,2936,2519,615,1294,2865,2242,2371,2949,6083,706,2841,1357,3789,2399,52189
2021-02-17,2021-02-18 08:00,8436,11343,2956,2725,473,1473,4314,1853,4048,1947,2698,641,1973,1626,2597,1900,51003
2021-02-18,2021-02-19 08:00,7261,11489,2776,3110,566,1276,3408,2407,2890,3041,2866,840,2195,1377,2976,1821,50299
2021-02-19,2021-02-20 08:00,10517,11598,2850,2631,529,1281,2498,2394,3011,1792,2735,661,2088,1452,3256,2043,51336
2021-02-21,2021-02-22 08:00,6262,4215,2663,0,187,937,2584,0,1731,1532,1762,0,2752,279,2497,833,28234
2021-02-22,2021-02-23 08:00,8090,6004,5166,2725,597,1166,3473,908,3351,944,2947,538,2813,1552,2645,1358,44277
