date,publication_date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,DE
,,2084,3389,1626,100,420,445,3112,590,334,5405,1252,215,182,1504,809,99,21566
,,4721,5219,3839,107,592,1071,4354,4170,835,7136,1462,862,857,3985,2495,257,41962
,,12649,28206,9084,3036,1691,2040,15674,11101,2705,19930,4247,2119,2653,10100,5581,810,131626
,,17086,37955,11114,3219,1741,2759,21373,11494,3566,24924,5112,2716,3290,11146,7270,810,165575
,,20045,39005,13137,3219,1741,3042,24791,11494,3945,33375,6898,3316,4000,11771,7964,810,188553
,,24063,57833,14616,3219,1837,3704,30085,11494,4962,48691,7248,4149,4343,12822,8933,810,238809
,,27454,66258,17758,3309,1903,4140,33405,11494,5394,53841,8282,4149,4866,13366,9557,810,265986
,,32182,77876,19389,3334,2653,4756,37795,13832,8665,62692,9891,4836,7740,15628,12978,2715,316962
,,37840,82749,21955,5404,3195,5901,41298,18014,15164,69225,12336,5633,10767,17123,17016,3711,367331
,,42899,84349,24159,8182,3825,7079,44122,21713,22608,79578,15984,6511,13006,17624,20078,5343,417060
,,49103,88916,26406,11481,4505,8471,46006,24060,32170,90802,20792,7358,15593,19399,23903,7994,476959
,,55320,93966,28871,13895,5291,9888,48653,25141,41646,98950,25482,8232,17991,20799,28241,10512,532878
,,65488,120136,32014,14063,6303,12695,54361,25141,45342,114762,29994,9157,19756,21914,31431,10790,613347
,,73776,135986,33798,15091,6999,14273,57475,26926,54168,124637,36466,10130,23701,24413,38426,12517,688782
,,76762,150511,35893,19590,7753,15980,60344,29100,63200,129472,45326,11199,29421,27320,43162,13060,758093
,,82300,167915,38408,27102,8890,18150,62171,32998,70444,142066,54189,12243,34588,29448,47498,14045,842455
,,92868,183573,45998,33263,10134,19422,65673,35355,78050,176801,64219,13301,39332,31723,52740,19230,961682
,,100163,198607,48544,37993,11033,21951,69925,37570,86035,193857,73749,14421,43451,33182,55670,22009,1048160
,,114954,213837,52622,38474,11845,24468,72816,37564,90005,211779,82810,15711,50002,33148,65849,23413,1139297
,,122057,220318,55134,41094,12866,26517,74071,39116,94116,218699,91423,16957,53663,34411,69126,25975,1195543
,,128128,226316,57184,45071,12799,28602,76907,41827,101251,223549,99282,17759,58576,35940,72506,29063,1254760
,,135209,232464,59567,49548,13224,30549,82019,44449,109438,235919,104589,18612,62126,38749,75268,32361,1324091
,,142511,238298,63677,54450,13837,32435,84556,47197,118133,243878,112411,16773,64728,40226,78356,34998,1386464
,,154818,244058,67960,58422,14664,34132,89249,49922,127121,267193,118409,17112,67357,41742,81267,37286,1470712
,,171338,254916,74605,58422,15950,36186,97061,49946,130395,290708,122938,17296,71283,42149,83881,39081,1556155
,,180411,290683,78060,61879,16475,36210,104288,51199,135010,292154,129595,18072,73723,43795,85536,41335,1638425
,,189426,278653,81198,65723,17072,39140,108901,52331,137227,295738,134587,18835,77181,45020,87065,44118,1672215
,,198902,291334,84111,67643,17595,40819,114788,53619,140982,312109,136803,19527,79507,46795,87351,46351,1738236
,,206594,302792,86860,70884,18145,42646,119069,54907,143471,327867,138322,20345,82046,48228,88467,48838,1799481
,,217101,313523,91948,73844,18525,44721,123833,56274,147097,333232,139931,21029,84339,49587,89431,51042,1855457
,,230919,324861,97440,73844,19415,46374,130763,56289,151609,357397,141500,21589,89519,50324,90151,53362,1935356
,,238397,331825,100283,75399,19764,47605,135211,57239,155283,363713,142618,22252,92418,51791,91476,54937,1980211
,,245773,340112,103404,76097,20029,49270,138721,58003,159097,379102,143381,22888,95470,52824,92616,56774,2033561
,,253549,350581,106021,76861,20384,50848,143294,59064,164196,393599,144075,23632,98202,54328,93628,59427,2091689
,,259979,359964,108465,77381,20778,52070,147967,60083,170397,413149,144633,24022,100862,55706,95087,62457,2153000
,,269728,368547,111227,78049,21290,53886,152473,61425,176285,426777,145593,24516,104150,57355,96209,65341,2212851
,,285065,384576,118021,78306,22090,54863,159685,61425,179573,449541,146797,24898,108634,57485,97831,66431,2295221
,,292646,393856,120017,79046,22435,56040,164991,62204,184007,460229,147008,25671,111700,58214,98745,67993,2344802
,,301407,406322,122135,79666,22764,57231,170502,62865,187553,475747,147196,26444,115273,59110,99871,71070,2405156
,,310601,421168,124426,80169,23132,59542,175219,64308,191965,510546,148262,28066,117961,60685,101078,73295,2490423
