date,publication_date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,DE
2020-12-27,2020-12-28 16:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28,2020-12-29 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-30,2020-12-31 08:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-31,2021-01-01 12:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,2021-01-02 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,2021-01-03 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,2021-01-04 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,2021-01-05 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,2021-01-06 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-06,2021-01-07 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07,2021-01-08 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,2021-01-09 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,2021-01-11 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,2021-01-12 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-12,2021-01-13 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-13,2021-01-14 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-14,2021-01-15 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-15,2021-01-16 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-17,2021-01-18 11:00,0,0,1933,0,0,425,1736,0,335,968,350,0,155,679,0,0,6581
2021-01-18,2021-01-19 14:00,4457,419,4138,0,390,598,3000,1157,837,4593,1196,0,368,2927,640,21,24741
2021-01-19,2021-01-20 10:00,7779,1659,6583,1123,714,1026,6413,379,1555,5383,1926,0,1139,5632,1068,291,42670
2021-01-20,2021-01-21 10:00,11591,4077,9372,1123,1239,1661,12350,3017,2834,16053,2362,0,2551,7747,1166,459,77602
2021-01-21,2021-01-22 10:00,15549,16704,12494,1123,1762,2166,15554,3572,3582,21877,3228,2684,3343,9008,1327,1202,115175
2021-01-22,2021-01-23 10:00,18954,46811,15729,1123,1771,2846,18055,3626,4059,26122,4080,3241,3795,10117,1525,1570,163424
2021-01-24,2021-01-25 10:00,26150,67418,18158,1123,1864,3746,26445,3742,5419,47123,4188,4043,4599,11482,1531,1732,228763
2021-01-25,2021-01-26 10:00,30451,93628,19795,1145,2122,4387,29645,5809,8871,53982,4556,4666,6363,13007,2795,2042,283264
2021-01-26,2021-01-27 10:00,38712,86350,22441,2755,2753,5091,32577,9881,15507,61632,5039,5420,9006,14730,4408,2372,318674
2021-01-27,2021-01-28 10:00,43654,90355,24710,4978,3203,6273,35555,12718,23668,72095,6174,6288,10518,15735,5610,4547,366081
2021-01-28,2021-01-29 10:00,49003,93015,27010,8362,3840,8041,37816,14387,32691,80651,10777,7057,12054,17014,7536,7392,416646
2021-01-29,2021-01-30 10:00,54807,96180,29642,12772,4127,9021,39954,14961,41127,84356,15019,7919,13911,19161,9786,8958,461701
2021-01-31,2021-02-01 10:00,64589,115540,32826,12960,5241,10745,46133,15033,44761,99196,17627,8836,16322,20181,12892,9680,532562
2021-02-01,2021-02-02 10:00,69808,131297,34654,14525,5918,12215,49344,16670,52975,118494,23446,9709,19799,21896,14601,11435,606786
2021-02-02,2021-02-03 10:00,76041,144734,36764,17458,6604,13961,51643,17923,61103,135089,29372,10644,23985,24010,17160,13158,679649
2021-02-03,2021-02-04 10:00,82324,160629,39341,20770,7355,16033,53987,19115,68225,149823,36007,11582,28368,26299,20800,15675,756333
2021-02-04,2021-02-05 10:00,89261,173079,41553,24083,8208,17748,57004,20459,75341,169878,43009,12511,32255,28078,23652,18279,834398
2021-02-05,2021-02-06 10:00,96158,184229,44083,27628,8834,19776,61238,21115,82503,180974,49620,13545,35939,29172,27920,20537,903271
2021-02-07,2021-02-08 11:00,106642,196692,53015,27991,9505,22875,63607,21115,85544,199283,54278,14560,42097,29498,32852,22360,981914
2021-02-08,2021-02-09 10:00,113198,202985,55485,30406,9989,24286,65486,23505,89054,199283,60598,15166,45189,30512,36069,23420,1024631
2021-02-09,2021-02-10 10:00,119747,208603,57728,33461,10657,26521,68808,26141,92231,229639,68880,15326,49181,31869,39769,25943,1104504
2021-02-10,2021-02-11 10:00,125622,213152,60133,39984,11381,28623,71954,28892,95327,253932,76440,15515,52335,33712,42977,28746,1178725
2021-02-11,2021-02-12 10:00,131512,218749,63049,47849,12192,30613,76339,31643,103821,269472,84506,15709,54566,35312,46615,31359,1253306
2021-02-12,2021-02-13 08:00,142052,226982,68363,54965,13138,32068,80179,33096,113705,278216,93856,15993,57331,37215,50705,33709,1331573
2021-02-14,2021-02-15 08:00,158007,237526,74722,55044,14450,34644,85885,33100,120139,288160,100848,16227,61555,37747,56404,35781,1410239
2021-02-15,2021-02-16 08:00,165650,247180,78141,58446,15162,36062,89213,34567,125091,296000,106766,16970,64393,39561,59368,38252,1470822
2021-02-16,2021-02-17 10:00,172613,257615,81077,60965,15783,37359,92078,36880,128021,300586,113295,17672,67234,40918,63157,40690,1525943
2021-02-17,2021-02-18 08:00,181240,268958,84033,63690,16255,38921,96392,38776,132842,304605,116301,18315,69207,42544,65808,42741,1580628
2021-02-18,2021-02-19 08:00,188592,280447,86809,66800,16821,40337,99800,41195,136360,309235,120092,19152,71402,43921,69070,44753,1634786
2021-02-19,2021-02-20 08:00,199307,292045,89659,69431,17349,43061,102298,43640,139810,312359,123187,19812,73490,45373,72518,47012,1690351
2021-02-21,2021-02-22 08:00,213854,302944,94959,69431,18013,44976,108868,43663,143862,315753,128633,20361,78380,46018,77320,49443,1756478
2021-02-22,2021-02-23 08:00,221979,308948,101745,72156,18610,46893,112341,44835,147888,318882,131916,20899,81193,47570,79951,50800,1806606
2021-02-23,2021-02-24 08:00,229463,316844,104812,72991,18921,48305,115839,45966,151742,327280,134036,21602,83610,48895,82559,52063,1854928
2021-02-24,2021-02-25 08:00,238118,326562,107576,73696,19214,49847,119705,46978,155493,341290,135687,22207,85686,50118,84537,54149,1910863
2021-02-25,2021-02-26 10:00,245408,335390,110142,74118,19497,50952,123457,47679,160413,363431,136619,22407,87935,51316,86697,55582,1971043
2021-02-26,2021-02-27 08:00,254302,344192,112990,74701,19956,51868,126985,48997,165970,378048,138409,22653,91335,52352,88793,57496,2029047
2021-02-28,2021-03-01 08:00,268877,359275,117883,74702,20970,52849,136932,48997,168877,388328,139980,22779,95582,52392,89010,57822,2095255
2021-03-01,2021-03-02 08:00,275770,368531,119947,75456,21305,53887,139672,49942,173123,416823,140151,23300,97994,53229,90834,59448,2159412
2021-03-02,2021-03-03 10:00,283086,380103,122054,75863,21623,54960,145656,50606,176582,430841,140347,23883,100898,54926,92243,61833,2215504
2021-03-03,2021-03-04 08:00,292124,382160,124144,76295,21945,56710,151820,51793,181638,449292,140571,24397,103601,56595,93419,64282,2271784
2021-03-04,2021-03-05 08:00,300247,408947,125693,76853,22241,57915,157868,52932,187462,462827,140931,25239,106459,58689,94925,67160,2346388
2021-03-05,2021-03-06 08:00,309638,423628,127400,77359,22508,59423,163582,53623,194235,476472,141626,25982,109036,59689,95928,70101,2410230
2021-03-07,2021-03-08 08:00,323830,439254,129678,77668,23046,61786,169370,53647,199508,495875,141970,26519,113544,61019,96050,71644,2484408
