date,publication_date,impfungen_kumulativ,indikation_nach_alter,berufliche_indikation,pflegeheimbewohnerin,differenz_zum_vortag,medizinische_indikation,impfungen_pro_1000_einwohner
2020-12-27,2020-12-28 16:15,21566,5833,7618,11646,1357,962,0.25931048301284876
2020-12-28,2020-12-29 08:00,41962,12232,14964,21767,19084,1661,0.5045528372523954
2020-12-30,2020-12-31 08:30,131626,31250,61612,57406,51465,3827,1.5826765110381724
2020-12-31,2021-01-01 12:30,165575,39214,77253,71590,31846,5355,1.9908807022559785
2021-01-01,2021-01-02 08:00,188553,44552,86692,82965,21087,6122,2.2671691321302823
2021-01-02,2021-01-03 08:00,238809,56197,107019,103894,40665,7317,2.871449371131197
2021-01-03,2021-01-04 12:00,265986,62805,123103,114654,22892,7999,3.198226752047463
2021-01-04,2021-01-05 12:00,316962,73734,149727,131885,44563,10216,3.811164301062717
2021-01-05,2021-01-06 11:00,367331,84867,176125,150098,45233,12268,4.416803256774216
2021-01-06,2021-01-07 11:00,417060,94997,201540,168564,46332,14732,5.014746825806301
2021-01-07,2021-01-08 11:00,476959,109314,232473,188746,50938,17267,5.734974898790936
2021-01-08,2021-01-09 11:00,532878,122622,261536,206772,50066,20043,6.407347285862969
2021-01-10,2021-01-11 11:00,613347,144648,296755,238053,28221,22159,7.3749098963406166
2021-01-11,2021-01-12 11:00,688782,166335,330613,262219,60858,25372,8.281943480968003
2021-01-12,2021-01-13 11:00,758093,186984,366029,285023,69178,28125,9.115341834306758
2021-01-13,2021-01-14 11:00,842455,207992,408585,308886,78116,29949,10.129714039070272
2021-01-14,2021-01-15 11:00,961682,231921,468813,341768,94654,32095,11.563304457236502
2021-01-15,2021-01-16 11:00,1048160,255415,514710,366228,79759,34600,12.603119534208826
2021-01-17,2021-01-18 11:00,1145878,282002,553481,399037,,39379,13.778084839738343
2021-01-18,2021-01-19 14:00,1220284,305468,585039,418626,,38117,14.672745685470236
2021-01-19,2021-01-20 10:00,1297430,330438,621803,440513,,40729,15.600352405423367
2021-01-20,2021-01-21 10:00,1401693,360436,672029,472402,,43489,16.854015063791568
2021-01-21,2021-01-22 10:00,1501639,420178,673286,515815,,52850,18.055769934198793
2021-01-22,2021-01-23 10:00,1632777,456933,720183,557621,,55165,19.632578712893913
2021-01-24,2021-01-25 10:00,1783118,473601,831196,596510,,53665,21.440285164096487
2021-01-25,2021-01-26 10:00,1921689,556666,914916,635925,,57500,23.106468644647975
2021-01-26,2021-01-27 10:00,1990889,592618,939329,663171,,60470,23.93853232935952
2021-01-27,2021-01-28 10:00,2104317,626219,996890,692687,,64357,25.302395329785256
2021-01-28,2021-01-29 10:00,2216127,679311,1020486,713674,,68079,26.6468034307621
2021-01-29,2021-01-30 10:00,2317158,721007,1066771,736837,,72549,27.861604386399264
2021-01-31,2021-02-01 10:00,2467918,844694,1132935,772742,,90795,29.674348911068517
2021-02-01,2021-02-02 10:00,2586997,888687,1212107,811961,,95611,31.106159771065133
2021-02-02,2021-02-03 10:00,2713210,931158,1275365,846119,,100603,32.62375014445383
2021-02-03,2021-02-04 10:00,2848022,979966,1341247,878967,,105349,34.24473525230545
2021-02-04,2021-02-05 10:00,2987398,1027594,1412509,913990,,110467,35.92059808641465
2021-02-05,2021-02-06 10:00,3116122,1075736,1475216,943674,,115246,37.46838082847836
2021-02-07,2021-02-08 11:00,3277135,1109846,1581519,957042,,119086,39.40440785256014
2021-02-08,2021-02-09 10:00,3369433,1154551,1618602,974298,,122839,40.51420285214838
2021-02-09,2021-02-10 10:00,3509660,1236210,1653889,1031376,,131576,42.20029814573285
2021-02-10,2021-02-11 10:00,3669148,1310973,1723296,1057352,,134898,44.1179885062426
2021-02-11,2021-02-12 10:00,3810003,1370105,1793017,1081059,,140279,45.81163489800625
