date,publication_date,impfungen_kumulativ,indikation_nach_alter,berufliche_indikation,pflegeheimbewohnerin,differenz_zum_vortag,medizinische_indikation,impfungen_pro_1000_einwohner
2020-12-27,2020-12-28 16:15,99,49,50,49,,0,0.04640527838948372
2020-12-28,2020-12-29 08:00,257,135,121,135,158,0,0.12046622773835673
2020-12-30,2020-12-31 08:30,810,232,297,413,138,0,0.37967955045941226
2020-12-31,2021-01-01 12:30,810,232,297,413,0,0,0.37967955045941226
2021-01-01,2021-01-02 08:00,810,232,297,413,,0,0.37967955045941226
2021-01-02,2021-01-03 08:00,810,232,297,413,,0,0.37967955045941226
2021-01-03,2021-01-04 12:00,810,232,297,413,,0,0.37967955045941226
2021-01-04,2021-01-05 12:00,2715,446,1976,413,493,1,1.2726296043176597
2021-01-05,2021-01-06 11:00,3711,468,2856,500,500,7,1.739494829327011
2021-01-06,2021-01-07 11:00,5343,650,4096,583,1165,21,2.5044788124748636
2021-01-07,2021-01-08 11:00,7994,782,6399,731,974,22,3.7471090449043722
2021-01-08,2021-01-09 11:00,10512,903,8583,924,1000,25,4.9273968326288164
2021-01-10,2021-01-11 11:00,10790,903,8861,924,0,25,5.057706604267973
2021-01-11,2021-01-12 11:00,12517,1074,9827,1249,1242,45,5.8672209050623
2021-01-12,2021-01-13 11:00,13060,1149,9798,1491,740,81,6.1217468259258325
2021-01-13,2021-01-14 11:00,14045,1150,10998,1491,744,82,6.583455908891907
2021-01-14,2021-01-15 11:00,19230,3428,13211,2150,2060,248,9.013873772017899
2021-01-15,2021-01-16 11:00,22009,4383,14578,2582,2092,413,10.316502748223709
2021-01-17,2021-01-18 11:00,23413,5024,15020,2892,,475,10.974613969020023
2021-01-18,2021-01-19 14:00,25996,6144,16059,3262,,708,12.185369868818372
2021-01-19,2021-01-20 10:00,29354,6144,16979,3262,,708,13.7593994125748
2021-01-20,2021-01-21 10:00,32820,8932,18895,4071,,1057,15.384052896392483
2021-01-21,2021-01-22 10:00,36200,10240,21107,4388,,1141,16.968394724235463
2021-01-22,2021-01-23 10:00,38856,11493,22293,4664,,1302,18.213368657593733
2021-01-24,2021-01-25 10:00,40813,12443,22985,4980,,1358,19.1306932011111
2021-01-25,2021-01-26 10:00,43377,13728,23847,5336,,1605,20.332543037380155
2021-01-26,2021-01-27 10:00,46490,15344,24935,5867,,1794,21.791731235627253
2021-01-27,2021-01-28 10:00,50898,16896,27455,6452,,1934,23.85793797442366
2021-01-28,2021-01-29 10:00,56230,18378,15157,6877,,1953,26.35726064485525
2021-01-29,2021-01-30 10:00,60000,19748,16874,7280,,2104,28.12441114514165
2021-01-31,2021-02-01 10:00,63042,20756,18592,7455,,2184,29.55031879020033
2021-02-01,2021-02-02 10:00,66372,22282,36105,8058,,2384,31.11122360875569
2021-02-02,2021-02-03 10:00,69932,23675,37965,8583,,2479,32.7799386700341
2021-02-03,2021-02-04 10:00,75102,26951,39594,9038,,2682,35.2033254303738
2021-02-04,2021-02-05 10:00,80736,30152,41657,9645,,2850,37.8442076369026
2021-02-05,2021-02-06 10:00,85878,33266,43290,10303,,3103,40.25446967204124
2021-02-07,2021-02-08 10:00,88791,34450,44546,11149,,3211,41.61990983313787
