date,publication_date,impfungen_kumulativ,indikation_nach_alter,berufliche_indikation,pflegeheimbewohnerin,differenz_zum_vortag,medizinische_indikation,impfungen_pro_1000_einwohner
2020-12-27,2020-12-28 16:15,100,80,20,12,,,
2020-12-28,2020-12-29 08:00,107,60,47,60,75,,
2020-12-30,2020-12-31 08:30,3036,204,2812,224,1483,20,
2020-12-31,2021-01-01 12:30,3219,204,2995,224,183,20,
2021-01-01,2021-01-02 08:00,3219,204,2995,224,,20,
2021-01-02,2021-01-03 08:00,3219,204,2995,224,,20,
2021-01-03,2021-01-04 12:00,3309,204,3085,224,,20,1.3121095938646088
2021-01-04,2021-01-05 12:00,3334,227,3087,224,25,20,1.3220227820926582
2021-01-05,2021-01-06 11:00,5404,287,5097,224,2070,20,2.1428347673751422
2021-01-06,2021-01-07 11:00,8182,436,7724,433,2778,21,3.2443882432759836
2021-01-07,2021-01-08 11:00,11481,1029,10391,558,3299,53,4.552532561849373
2021-01-08,2021-01-09 11:00,13895,1608,12192,908,2414,87,5.509750017149815
2021-01-10,2021-01-11 11:00,14063,1682,12236,982,0,87,5.5763666420423075
2021-01-11,2021-01-12 11:00,15091,2426,12430,1162,1028,118,5.9839969419796954
2021-01-12,2021-01-13 11:00,19590,3920,15352,2009,4499,193,7.767974295499452
2021-01-13,2021-01-14 11:00,27102,5612,21079,2545,7512,212,10.746689094263713
2021-01-14,2021-01-15 11:00,33263,7410,25370,3545,5694,268,13.18969520118419
2021-01-15,2021-01-16 11:00,37993,9067,28119,4502,4195,343,15.065270413931122
2021-01-17,2021-01-18 11:00,38474,9387,28252,4790,0,368,
2021-01-18,2021-01-19 14:00,41094,11184,29008,5561,2620,411,
2021-01-19,2021-01-20 10:00,46194,13698,31362,6931,5100,496,
