date,publication_date,impfungen_kumulativ,indikation_nach_alter,berufliche_indikation,pflegeheimbewohnerin,differenz_zum_vortag,medizinische_indikation,impfungen_pro_1000_einwohner
2020-12-27,2020-12-28 16:15,100,80,20,12,,0,0.0396527529121973
2020-12-28,2020-12-29 08:00,107,60,47,60,75,0,0.042428445616051115
2020-12-30,2020-12-31 08:30,3036,204,2812,224,1483,20,1.2038575784143102
2020-12-31,2021-01-01 12:30,3219,204,2995,224,183,20,1.2764221162436313
2021-01-01,2021-01-02 08:00,3219,204,2995,224,,20,1.2764221162436313
2021-01-02,2021-01-03 08:00,3219,204,2995,224,,20,1.2764221162436313
2021-01-03,2021-01-04 12:00,3309,204,3085,224,,20,1.3121095938646088
2021-01-04,2021-01-05 12:00,3334,227,3087,224,25,20,1.3220227820926582
2021-01-05,2021-01-06 11:00,5404,287,5097,224,2070,20,2.1428347673751422
2021-01-06,2021-01-07 11:00,8182,436,7724,433,2778,21,3.2443882432759836
2021-01-07,2021-01-08 11:00,11481,1029,10391,558,3299,53,4.552532561849373
2021-01-08,2021-01-09 11:00,13895,1608,12192,908,2414,87,5.509750017149815
2021-01-10,2021-01-11 11:00,14063,1682,12236,982,0,87,5.5763666420423075
2021-01-11,2021-01-12 11:00,15091,2426,12430,1162,1028,118,5.9839969419796954
2021-01-12,2021-01-13 11:00,19590,3920,15352,2009,4499,193,7.767974295499452
2021-01-13,2021-01-14 11:00,27102,5612,21079,2545,7512,212,10.746689094263713
2021-01-14,2021-01-15 11:00,33263,7410,25370,3545,5694,268,13.18969520118419
2021-01-15,2021-01-16 11:00,37993,9067,28119,4502,4195,343,15.065270413931122
2021-01-17,2021-01-18 11:00,38474,9387,28252,4790,,368,15.256000155438791
2021-01-18,2021-01-19 14:00,41094,11184,29008,5561,,411,16.29490228173836
2021-01-19,2021-01-20 10:00,46194,13698,31362,6931,,496,18.317192680260423
2021-01-20,2021-01-21 10:00,50671,16170,33283,8143,,553,20.092446428139496
2021-01-21,2021-01-22 10:00,55573,19012,35237,9440,,645,22.036224375895408
2021-01-22,2021-01-23 10:00,59545,21558,36515,10428,,734,23.611231721567886
2021-01-24,2021-01-25 10:00,59545,21558,36515,10428,,734,23.611231721567886
2021-01-25,2021-01-26 10:00,63024,23238,37732,12108,,747,24.99075099538323
2021-01-26,2021-01-27 10:00,68478,25346,40367,13324,,810,27.15341213921447
2021-01-27,2021-01-28 10:00,72621,26909,42815,13328,,849,28.796225692366807
2021-01-28,2021-01-29 10:00,79246,28868,47256,14398,,973,31.423220572799877
2021-01-29,2021-01-30 10:00,86616,32308,50966,17022,,1069,34.34562846242882
